fsq_place_id,name,latitude,longitude,address,locality,region,postcode,admin_region,post_town,po_box,country,date_created,date_refreshed,date_closed,tel,website,email,facebook_id,instagram,twitter,fsq_category_ids,fsq_category_labels,placemaker_url,unresolved_flags,geom,bbox,labels_str,taco_restaurant
56b6366c498ebb73c5f71e70,Birria al Horno Don Chinono,32.519972,-117.018977,"Av. Rio Bravo 9871, Tijuana, Baja California, Mexico",,,,,,,MX,2016-02-06,2025-07-15,,664 135 1331,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],https://foursquare.com/placemakers/review-place/56b6366c498ebb73c5f71e70,,b'\x00\x00\x00\x00\x01\xc0]A6\xebN\x98\x14@@B\x8eqGj\xf9',"{'xmin': -117.018977, 'ymin': 32.519972, 'xmax': -117.018977, 'ymax': 32.519972}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
5c243df66dcf04002d1b7888,Tacos El Vaquero,32.518283990168406,-117.01989554370431,269 3rd Ave,Chula Vista,California,91910,,,,MX,2018-12-27,2025-07-13,,,https://tacoselvaquero.business.site,,,,,['4bf58dd8d48988d1cb941735' '4bf58dd8d48988d151941735'],"['Dining and Drinking > Food Truck'
 'Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant']",https://foursquare.com/placemakers/review-place/5c243df66dcf04002d1b7888,,"b""\x00\x00\x00\x00\x01\xc0]AE\xf7\xf5b\xf4@@BW!9\xe8'""","{'xmin': -117.01989554370431, 'ymin': 32.518283990168406, 'xmax': -117.01989554370431, 'ymax': 32.518283990168406}","dining and drinking > food truck, dining and drinking > restaurant > mexican restaurant > taco restaurant",1
4ff60052e4b0a0306bbb31aa,Tacos Varios La Herencia,32.51706946933806,-117.02144169109008,,,,,,,,MX,2012-07-05,2023-02-10,,,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],https://foursquare.com/placemakers/review-place/4ff60052e4b0a0306bbb31aa,,b'\x00\x00\x00\x00\x01\xc0]A_L\xf8\x80.@@B/U\x16H\x95',"{'xmin': -117.02144169109008, 'ymin': 32.51706946933806, 'xmax': -117.02144169109008, 'ymax': 32.51706946933806}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
50f62d50e4b00733f54e2dbf,Asaderos,32.519107818603516,-117.02061462402344,,,,,,,,MX,2013-01-16,2016-09-04,,,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],https://foursquare.com/placemakers/review-place/50f62d50e4b00733f54e2dbf,,b'\x00\x00\x00\x00\x01\xc0]AQ\xc0\x00\x00\x00@@Br \x00\x00\x00',"{'xmin': -117.02061462402344, 'ymin': 32.519107818603516, 'xmax': -117.02061462402344, 'ymax': 32.519107818603516}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
4eeffb5377c8053fbc706f15,Tacos El Paisano,32.519392821010285,-117.02065424942029,,,,,,,,MX,2011-12-20,2024-11-15,,,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],https://foursquare.com/placemakers/review-place/4eeffb5377c8053fbc706f15,,b'\x00\x00\x00\x00\x01\xc0]ARf3r&@@B{v\xc6\x02\x18',"{'xmin': -117.02065424942029, 'ymin': 32.519392821010285, 'xmax': -117.02065424942029, 'ymax': 32.519392821010285}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
4d858cfcf9f3a1cdc0d2ce64,Tacos Las 3 Salsas,32.519268,-117.020721,Guillermo Prieto 2620,Tijuana,Baja California,,,,,MX,2011-03-20,2025-05-28,,664 349 5531,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],https://foursquare.com/placemakers/review-place/4d858cfcf9f3a1cdc0d2ce64,,"b'\x00\x00\x00\x00\x01\xc0]AS~,U\xc9@@Bw_\xb2\xed\xfe'","{'xmin': -117.020721, 'ymin': 32.519268, 'xmax': -117.020721, 'ymax': 32.519268}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
4fc58ad6e4b090c5c6f3d1da,Tacos Los Paisas,32.519494,-117.020645,,,,,,,,MX,2012-05-30,2025-02-02,,,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],https://foursquare.com/placemakers/review-place/4fc58ad6e4b090c5c6f3d1da,,b'\x00\x00\x00\x00\x01\xc0]AR?g\xf4\xdc@@B~\xc7\x86;\xef',"{'xmin': -117.020645, 'ymin': 32.519494, 'xmax': -117.020645, 'ymax': 32.519494}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
4d014943e0c5a1cd8b4076ae,Las Ahumaderas Tacos El Paisa,32.519547510423955,-117.02058491906658,Guillermo Prieto 9770,Tijuana,Baja California,,,,,MX,2010-12-09,2025-08-04,,664 689 0524,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],https://foursquare.com/placemakers/review-place/4d014943e0c5a1cd8b4076ae,,b'\x00\x00\x00\x00\x01\xc0]AQCh\x8b\xa2@@B\x80\x88f\xfe\x9b',"{'xmin': -117.02058491906658, 'ymin': 32.519547510423955, 'xmax': -117.02058491906658, 'ymax': 32.519547510423955}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
5818f99bda820240678ad58a,Tras / Horizonte,32.52221394908516,-117.0210304152551,Calle Río Colorado,Tijuana,BC,22400,,,,MX,2016-11-01,2025-06-29,,664 622 5062,,,,,,"['4bf58dd8d48988d1ce941735' '4bf58dd8d48988d1c1941735'
 '4bf58dd8d48988d151941735']","['Dining and Drinking > Restaurant > Seafood Restaurant'
 'Dining and Drinking > Restaurant > Mexican Restaurant'
 'Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant']",https://foursquare.com/placemakers/review-place/5818f99bda820240678ad58a,,b'\x00\x00\x00\x00\x01\xc0]AX\x8f\xf4o|@@B\xd7\xe8\x1cj\xfb',"{'xmin': -117.0210304152551, 'ymin': 32.52221394908516, 'xmax': -117.0210304152551, 'ymax': 32.52221394908516}","dining and drinking > restaurant > seafood restaurant, dining and drinking > restaurant > mexican restaurant, dining and drinking > restaurant > mexican restaurant > taco restaurant",1
53f5058f498ecb81e3cc10a9,Asadero El Nuevo Tecolote,32.5216078088053,-117.02206287750306,,Tijuana,Baja California,22015,,,,MX,2014-08-20,2024-11-27,,,,,,,,['4bf58dd8d48988d1c1941735' '4bf58dd8d48988d151941735'],"['Dining and Drinking > Restaurant > Mexican Restaurant'
 'Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant']",https://foursquare.com/placemakers/review-place/53f5058f498ecb81e3cc10a9,,b'\x00\x00\x00\x00\x01\xc0]AizjU4@@B\xc4\x0bp\x14\x18',"{'xmin': -117.02206287750306, 'ymin': 32.5216078088053, 'xmax': -117.02206287750306, 'ymax': 32.5216078088053}","dining and drinking > restaurant > mexican restaurant, dining and drinking > restaurant > mexican restaurant > taco restaurant",1
